序号	流水号	项目名称	起止时间	资助经费(万元)	下达部门	
材料科学与工程学院						
7	CL2006-7	聚苯胺纳米纤维的简易制备及应用	2006-2008	2.00	福建省教育厅	
2	CL2006-2	纳米复合电刷镀及其在模具中的应用研究	2006-2008	15.00	福建省科技厅	
1	CL2006-1	聚合-热解法制备炭微球及其结构与性能研究	2007-2009	8.00	福建省青年科技人才创新项目	
3	CL2006-3	热压烧结法制备碳碳复合材料及其性能的研究	2006-2008	2.50	校科技发展基金	
4	CL2006-4	含SO3的新型电催化载体材料的制备及其电化学性能	2006-2007	2.50	校科技发展基金	
5	CL2006-5	聚合－热解技术制备炭微球的研究	2006-2008	1.50	校科技发展基金	
6	CL2006-6	高沸醇木质素衍生物与酶的固定化研究	2006-2008	1.50	校科技发展基金	
8	CL2006-8	新型电摧化载体材料的探索及其电化学性能研究	2006-2008	2.50	校人才基金	
9	CL2006-9	高性能快淬纳米NdFeB永磁材料的研究开发	2006-2009	5.00	校人才基金	
10	CL2006-10	聚合物无机纳米复合发光材料的研究	2006-2009	5.00	校人才基金	
11	CL2006-11	微-纳米结构磺化聚苯胺的无模板法制备	2006-2009	4.00	校人才基金	
12	CL2006-12	利用铝厂废渣研制镁铝尖晶石材料	2006-2008	2.50	校人才基金	
13	CL2006-13	新型有机聚合物毛细管电色谱整体柱的制备及性能研究	2006-2008	4.00	校人才基金	
测试中心						
14	CS2006-1	氨基苷类抗生素毛细管电色谱检测技术研究与应用	2006-2008	1.50	校科技发展基金	
电气工程与自动化学院						
40	DQ2006-27	单相交流电动机变频调速控制装置	2006-2008	10.00	福建省发改委	
22	DQ2006-9	基于嵌入式Internet变电所远程监控技术的研究	2006-2008	0.50	福建省教育厅	
23	DQ2006-10	基于USB总线的LED动态显示系统的研究与设计	2006-2009	0.50	福建省教育厅	
24	DQ2006-11	电力电子线路及器件的智能故障诊断技术研究	2006-2008	2.00	福建省教育厅	
25	DQ2006-12	单级双向直流变换器型高频环节逆变器研究	2006-2008	2.00	福建省教育厅	
30	DQ2006-17	嵌入式视频处理专用模数转换器芯片设计研究	2006-2008	3.00	福建省科技三项	
33	DQ2006-20	智能型直流接触器	2006-2008	15.00	福建省科技厅	
34	DQ2006-21	低速永磁同步电动机变频调速控制研究	2006-2008	15.00	福建省科技厅	
37	DQ2006-24	部门出生缺陷产前快速筛查新方法及应用系统的研究	2006-2008	10.00	福建省科技厅	
31	DQ2006-18	基于微系统的精密伺服控制及应用研究	2007-2009	8.00	福建省青年科技人才创新项目	
32	DQ2006-19	风电并网后的电力系统调度新模型及其智能优化算法研究	2007-2009	8.00	福建省青年科技人才创新项目	
36	DQ2006-23	电力电子高频集成磁件的模型研究与应用	2006-2008	4.00	福建省自然科学基金	
35	DQ2006-22	单级双向直流变换器型高频环节逆变器研究	2006-2009	10.00	福建省自然科学基金（重点）	
16	DQ2006-3	差动直流变换型高频环节逆变器研究	2007-2009	6.00	高等学校博士学科点专项科研基金	
21	DQ2006-8	多指标随机时延网络化系统的控制与滤波	2007-2009	23.00	国家自然科学基金	
17	DQ2006-4	先进运动控制中的点位控制研究	2006-2008	2.50	校科技发展基金	
18	DQ2006-5	笼型转子异步电动机断条运行建模分析	2006-2007	2.50	校科技发展基金	
19	DQ2006-6	高速发电机输出变换器的研制	2006-2007	1.50	校科技发展基金	
20	DQ2006-7	新型低压大功率功率因数校正电路的研究	2006-2008	1.50	校科技发展基金	
15	DQ2006-1	高频环节AC-AC变换器研究	2005-2007	30.00	校人才基金	
26	DQ2006-13	风电场接入电网后的电力系统智能优化调度研究	2006-2008	2.50	校人才基金	
27	DQ2006-14	低压集成电器智能设计与控制机理及实现的研究	2006-2009	2.50	校人才基金	
