序号	流水号	项    目    名    称	起止时间	资助经费(万元)	下  达  部  门	
材料科学与工程学院						
1	CL2008-1	牡蛎壳废水除磷材料硅酸盐改性研究	2008-2010	6.00	福建省自然科学基金	
2	CL2008-2	电刷镀纳米晶合金镀层热稳定性与再强化的研究	2008-2011	7.00	福建省自然科学基金	
3	CL2008-3	低温烧结8YSZ的力学性能和高温离子电导率的研究	2008-2011	6.00	福建省自然科学基金	
4	CL2008-4	高效废水净化材料的研制及机理探讨	2008-2010	2.50	校科技发展基金	
5	CL2008-5	钛酸锌系微波介质陶瓷的低温烧结研究	2008-2010	2.50	校科技发展基金	
6	CL2008-6	等离子喷涂镍基非晶涂层的制备及热处理工艺研究	2008-2010	1.50	校科技发展基金	
7	CL2008-7	聚合诱导相分离法制备沥青基炭微球的研究	2009-2011	20.00	国家自然科学基金	
8	CL2008-8	被覆低钌超级电容器电极的开发	2008-2010	5.00	校人才基金	
9	CL2008-9	再生骨组织支架的研究	2008-2010	4.50	科技三项	
10	CL2008-10	Co、Al共掺杂ZnO透明稀磁半导体复合功能薄膜的性能优化	2008-2010	2.00	留学回国科研启动基金	
11	CL2008-11	混合模式整体聚合材料的制备及性能研究	2008-2010	1.00	福建省教育厅A类	
12	CL2008-12	利用硅微粉尘研制高效废水净化材料	2008-2009	10.00	省环保局	
13	CL2008-13	电瓷低温快烧新技术研究	2008-2009	15.00	福建省科技厅	
14	CL2008-14	新型木质素橡胶改性剂的制备	2008-2010	10.00	省发展和改革委员会	
测试中心						
15	CS2008-1	碳纳米管上异质结结构的调控生长与光催化性能研究	2008-2010	2.50	校人才基金	
16	CS2008-2	饮用水中藻类毒素微小型电化学生物传感器的研究	2008-2010	60.00	教育部重大项目培育资金	
17	CS2008-3	SnAfgCu/Cu界面组织和性能非均匀性及损伤规律研究	2008-2011	1.00	福建省教育厅A类	
18	CS2008-4	量子点荧光探针在多肽检测中的应用研究	2008-2011	1.00	福建省教育厅A类	
电气工程与自动化学院						
19	DQ2008-1	改进的粒子群优化算法及其在风电并网运行技术中的应用	2008-2011	6.00	福建省自然科学基金	
20	DQ2008-2	HID灯电子镇流器系统稳定性分析与控制	2008-2010	6.00	福建省自然科学基金	
21	DQ2008-3	基于网络系统的迭代学习控制	2008-2010	1.00	福建省自然科学基金（自由）	
22	DQ2008-4	便携电子产品无线感应充电关键技术研究	2008-2011	8.00	福建省青年科技人才创新项目	
23	DQ2008-5	矩阵变换器供电电励磁同步电动机直接转矩控制系统	2008-2011	2.50	校科技发展基金	
24	DQ2008-6	高频开关电源EMI抑制技术研究	2008-2011	2.50	校科技发展基金	
25	DQ2008-7	基于参数优化的支持向量机的非系统控制研究	2008-2010	2.50	校科技发展基金	
26	DQ2008-8	电流源高频环节逆变器研究	2008-2010	1.50	校科技发展基金	
27	DQ2008-9	网损修正的研究	2008-2011	1.50	校科技发展基金	
28	DQ2008-10	基于新型磁电集成原理的开关电源EMI抑制技术研究	2009-2011	29.00	国家自然科学基金	
29	DQ2008-11	具有状态约束系统的可靠跟踪算法的研究	2009-2011	30.00	国家自然科学基金	
30	DQ2008-12	基于GA-PSO求解DOT逆问题	2008-2010	5.00	校人才基金	
31	DQ2008-13	量化滤波器型迭代学习控制研究	2008-2010	2.50	校人才基金	
32	DQ2008-14	基于嵌入式网关的多总线智能照明与节能控制管理系统 	2008-2010	4.50	科技三项	
33	DQ2008-15	线性+非线性复合反馈控制理论及其实用化研究 	2008-2010	2.50	留学回国科研启动基金	
34	DQ2008-16	骨性关节炎定量诊断方法的研究	2008-2010	1.00	福建省教育厅B类	
35	DQ2008-17	基于表面肌电信号等参数反馈控制的电刺激的研究	2008-2011	0.50	福建省教育厅B类	
36	DQ2008-18	新型直流开关变换器模糊PID控制策略的研究	2008-2011	1.00	福建省教育厅A类	
37	DQ2008-19	混合式步进电动机宽调速范围控制策略研究	2008-2011	1.00	福建省教育厅A类	
38	DQ2008-20	高速发电机输出变换器的设计研究	2008-2010	1.00	福建省教育厅A类	
39	DQ2008-21	福建省医疗器械和医药技术重点实验室 	2008-2010	150.00	科技平台建设	
40	DQ2008-22	单井油气多相流量计的研制	2008-2010	25.00	福建省科技厅	
41	DQ2008-23	电力系统控制与测量新技术的研究	2008-2011	25.00	校人才基金	
化学化工学院						
42	HX2008-1	新型过渡金属－稀土配合物的合成及作为近红外发光DNA探针的研究	2009-2011	18.00 	国家自然科学基金	
43	HX2008-2	基于新型铼配合物与金纳米粒子相互作用的发光材料及其在生物酶传感器中的应用	2009-2011	18.00 	国家自然科学基金	
44	HX2008-3	电色谱微流控芯片关键技术研究	2009-2011	20.00 	国家自然科学基金	
45	HX2008-4	用于生物活体挥发性有机物采样的一维纳米阵列固相微萃取涂层研究	2009-2011	20.00 	国家自然科学基金	
46	HX2008-5	酞菁基抗癌声敏剂的敏化机理、构效关系和设计合成	2009-2011	30.00 	国家自然科学基金	
47	HX2008-6	具有筛孔结构的多硼钒氧簇化合物的合成、结构和二维相关光谱的研究	2009-2009	13.00 	国家自然科学基金	
48	HX2008-7	纳米TiO2表面羟基的结构特征及在光催化中的作用	2009-2011	32.00 	国家自然科学基金	
49	HX2008-8	新型可见光光催化材料的设计及其反应机理研究	2009-2011	36.00 	国家自然科学基金	
50	HX2008-9	Gemini表面活性剂分子超强作用和新颖聚集体研究	2009-2011	32.00 	国家自然科学基金	
51	HX2008-10	基于加压毛细管电色谱--质谱联用技术的赤潮毒素的高通量快速检测	2009-2011	32.00 	国家自然科学基金	
52	HX2008-11	关于不同起源的碳气溶胶的化学和物理特性的研究	2009-2011	35.00 	国家自然科学基金	
53	HX2008-12	福州大学化学基地	2009-2011	120.00 	国家自然科学基金（专项）	
54	HX2008-13	苯乙醇胺类手性药物的生物转化及分子催化机制	2008-2010	6.00 	福建省自然科学基金	
55	HX2008-14	新型有机光导材料的设计、合成和性质研究	2008-2010	6.00 	福建省自然科学基金	
56	HX2008-15	纳米光敏功能材料的设计与应用研究	2008-2010	6.00 	福建省自然科学基金	
57	HX2008-16	β-苯乙醇的生物合成动力学及原位产物转移技术研究	2008-2010	7.00 	福建省自然科学基金	
58	HX2008-17	钨氧化物纳米材料构效关系及其调控途径的研究	2008-2011	6.00 	福建省自然科学基金	
59	HX2008-18	活性多肽物质毛细管电泳-质谱联用检测技术的研究	2008-2011	1.50 	福建省自然科学基金（自由）	
60	HX2008-19	纳米LiMnPO4的合成及其正极特性研究	2008-2010	1.50 	福建省自然科学基金（自由）	
61	HX2008-20	纳米TiO2基氧敏材料表面预吸附与稳定性研究	2008-2011	4.00 	福建省自然科学基金	
62	HX2008-21	一维结构纳米二氧化钛基的染料敏化太阳能电池	2008-2011	4.00 	福建省自然科学基金	
63	HX2008-22	基于电化学检测的可寻址热控微电极阵列传感器的研究	2008-2011	10.00 	福建省青年科技人才创新项目	
64	HX2008-23	溶胶-凝胶法制备太阳光谱选择性吸收集热薄膜	2008-2011	8.00 	福建省青年科技人才创新项目	
